"","","","","","","","","","",""
"","Companies on London Stock Exchange","","","","","","","","",""
"","As at 31 December 2018","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)",""
"","13/02/2014","ACTUAL EXPERIENCE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","94.29",""
"","19/02/2014","ADAMAS FINANCE ASIA LIMITED","Financials","Financial Services","British Virgin Islands","North America","AIM ","Yes","39.17",""
"","26/07/2005","ADAMS PLC","Financials","Financial Services","Isle of Man","Europe","AIM ","No","1.24",""
"","15/02/2006","ADEPT4 PLC ","Technology","Technology","United Kingdom","Europe","AIM ","No","2.5",""
"","15/02/2006","ADEPT TECHNOLOGY GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","82.01",""
"","09/05/2017","ADES INTERNATIONAL HOLDING LTD","Oil & Gas","Oil & Gas","United Arab Emirates","Middle East","MAIN MARKET ","Yes","470.23",""
"","28/09/2004","ADMIRAL GROUP PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","5,946.59",""
"","30/04/2002","ADVANCED MEDICAL SOLUTIONS GROUP PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","587.06",""
"","04/08/2006","ADVANCED ONCOTHERAPY PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","66.98",""
"","20/03/2000","ADVFN PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","6.53",""
"","27/07/1938","AECI LD","Basic Materials","Chemicals","South Africa","Africa","MAIN MARKET ","Yes","-",""
"","01/05/2002","AEOREMA COMMUNICATIONS PLC","Consumer Services","Media","United Kingdom","Europe","AIM ","No","2.81",""
"","06/06/2017","AEW UK LONG LEASE REIT PLC","Financials","Real Estate","United Kingdom","Europe","MAIN MARKET ","No","71.56",""
"","12/05/2015","AEW UK REIT PLC","Financials","Real Estate","United Kingdom","Europe","MAIN MARKET ","No","135.95",""
"","26/07/2010","AFARAK GROUP PLC","Basic Materials","Basic Resources","Finland","Europe","MAIN MARKET ","Yes","190.7",""
"","24/04/2007","AFC ENERGY PLC","Oil & Gas","Oil & Gas","United Kingdom","Europe","AIM ","No","16.94",""
"","30/06/2014","AFH FINANCIAL GROUP PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","145.7",""
"","11/05/2007","AFI DEVELOPMENT PLC","Financials","Real Estate","Cyprus","Europe","MAIN MARKET ","Yes","66.22",""
"","09/10/2012","AFRICAN BATTERY METALS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","1.84",""
"","24/07/2007","AFRICA OPPORTUNITY FUND LIMITED","Financials","Financial Services","Cayman Islands","North America","MAIN MARKET ","Yes","34.67",""
"","09/11/2017","AFRITIN MINING LIMITED","Basic Materials","Basic Resources","Guernsey","Europe","AIM ","No","17.97",""
"","18/07/2014","AGGREGATED MICRO POWER HOLDINGS PLC","Utilities","Utilities","United Kingdom","Europe","AIM ","No","60.22",""
"","29/09/1997","AGGREKO PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","1,876.4",""
"","05/02/2009","AGRITERRA LD","Consumer Goods","Food & Beverage","Guernsey","Europe","AIM ","No","1.81",""
"","11/12/2017","AIB GROUP PLC","Financials","Banks","Ireland","Europe","MAIN MARKET ","Yes","8,926.81",""
"","09/01/2018","AIQ LIMITED","Financials","Financial Services","Cayman Islands","North America","MAIN MARKET ","Yes","11.4",""
"","15/12/2004","AIR CHINA LD","Consumer Services","Travel & Leisure","China","Asia","MAIN MARKET ","Yes","3,316.96",""
"","21/12/2005","AIREA PLC","Consumer Goods","Personal & Household Goods","United Kingdom","Europe","AIM ","No","25.02",""
"","23/11/1995","AIR PARTNER PLC","Consumer Services","Travel & Leisure","United Kingdom","Europe","MAIN MARKET ","No","45.12",""
"","07/12/2018","AJ BELL PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","979.58",""
"","22/05/2002","AKERS BIOSCIENCES, INC.","Health Care","Health Care","United States","North America","AIM ","Yes","10.92",""
"","04/04/2005","ALBA MINERAL RESOURCES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","9.71",""
"","11/06/2015","ALBERT TECHNOLOGIES LTD","Technology","Technology","Israel","Middle East","AIM ","Yes","20.45",""
"","27/01/1999","ALBION DEVELOPMENT VCT PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","57.59",""
"","05/04/2007","ALBION ENTERPRISE VCT PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","60.65",""
"","17/01/2001","ALBION TECHNOLOGY & GENERAL VCT PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","76.14",""
"","04/04/1996","ALBION VENTURE CAPITAL TST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","63.78",""
